Object	Object type	Related Gene	Topological rank	Relevance rank	Expression rank
RD RNA-binding protein [Homo sapiens]	Protein	RDBP	69	1	1.013349069
DNA directed RNA polymerase II polypeptide C [Homo sapiens]	Protein	POLR2C	214	1	1.068517018
DNA directed RNA polymerase II polypeptide A [Homo sapiens]	Protein	POLR2A	236	1	1.20075839
DNA directed RNA polymerase II polypeptide B [Homo sapiens]	Protein	POLR2B	198	1	1.072819653
elongation factor RNA polymerase II [Homo sapiens]	Protein	ELL	47	1	0.854806457
OMPB1_NEIMB	Protein		3	0	0
toll-like receptor 1 [Homo sapiens]	Protein	TLR1	10	0	0.46056458
toll-like receptor 6 [Homo sapiens]	Protein	TLR6	6	0	0.764450182
dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit [Homo sapiens]	Protein	DPM2	11	1	0.794545467
dolichyl-phosphate mannosyltransferase polypeptide 3 isoform 2 [Homo sapiens]	Protein	DPM3	4	1	1.003538366
ribosomal protein P1 isoform 1 [Homo sapiens]	Protein	RPLP1	111	2	1.069202335
ribosomal protein P2 [Homo sapiens]	Protein	RPLP2	98	1	1.044430855
ribosomal protein P0 [Homo sapiens]	Protein	RPLP0	99	1	1.050270568
ribosomal protein S17 [Homo sapiens]	Protein	RPS17	112	0	1.061012387
similar to 40S ribosomal protein S17 [Homo sapiens]	Protein	LOC257039	112	0	0
hypothetical protein LOC388524 [Homo sapiens]	Protein	LOC388524	116	1	0
ribosomal protein S2 [Homo sapiens]	Protein	RPS2	114	1	1.028540559
ribosomal protein L35a [Homo sapiens]	Protein	RPL35A	101	1	1.034758226
ribosomal protein L7 [Homo sapiens]	Protein	RPL7	103	2	1.045509837
ribosomal protein L17 [Homo sapiens]	Protein	RPL17	92	1	1.035031094
ribosomal protein S4, Y-linked 1 Y isoform [Homo sapiens]	Protein	RPS4Y1	112	1	1.44691014
ribosomal protein S3 [Homo sapiens]	Protein	RPS3	124	2	1.034686555
ribosomal protein S12 [Homo sapiens]	Protein	RPS12	114	0	1.062488402
ribosomal protein L13 [Homo sapiens]	Protein	LOC388344	95	0	1.038674751
ribosomal protein L10 [Homo sapiens]	Protein	RPL10	96	0	1.036549862
ribosomal protein L12 [Homo sapiens]	Protein	RPL12	95	1	1.064299537
ribosomal protein L9 [Homo sapiens]	Protein	RPL9	98	0	1.049106263
ribosomal protein L22 proprotein [Homo sapiens]	Protein	RPL22	103	1	1.061633974
ribosomal protein L4 [Homo sapiens]	Protein	RPL4	99	1	1.056609583
ribosomal protein S19 [Homo sapiens]	Protein	RPS19	129	1	1.035629769
ribosomal protein L3 isoform a [Homo sapiens]	Protein	RPL3	113	3	1.008451464
ribosomal protein L13a [Homo sapiens]	Protein	RPL13A	114	1	1.060843988
ribosomal protein S27 [Homo sapiens]	Protein	RPS27	125	1	1.052739432
ribosomal protein L35 [Homo sapiens]	Protein	RPL35	102	1	1.050832675
ribosomal protein L27a [Homo sapiens]	Protein	RPL27A	92	1	1.010559789
ribosomal protein L5 [Homo sapiens]	Protein	RPL5	101	1	1.053868853
similar to 60S ribosomal protein L21 [Homo sapiens]	Protein	LOC388143;LOC389156;LOC728782;LOC729402;LOC728501	100	0	0
ribosomal protein L21 [Homo sapiens]	Protein	RPL21	96	1	1.058069702
ribosomal protein L28 [Homo sapiens]	Protein	RPL28	99	2	0.934935294
ribosomal protein S9 [Homo sapiens]	Protein	RPS9	131	1	1.069338822
ribosomal protein S5 [Homo sapiens]	Protein	RPS5	118	1	1.031116929
ribosomal protein S10 [Homo sapiens]	Protein	RPS10	123	0	1.037833249
ribosomal protein L29 [Homo sapiens]	Protein	RPL29	105	1	1.045163315
ribosomal protein L34 [Homo sapiens]	Protein	RPL34	94	0	1.062774218
ribosomal protein L14 [Homo sapiens]	Protein	RPL14	95	3	1.053447899
ribosomal protein S20 [Homo sapiens]	Protein	RPS20	118	1	1.068144324
40S ribosomal protein S3a [Homo sapiens]	Protein	RPS3A 	149	0	1.057166324
ribosomal protein L26 [Homo sapiens]	Protein	RPL26	102	0	1.051494653
ribosomal protein L15 [Homo sapiens]	Protein	RPL15	93	1	1.051309246
ribosomal protein L27 [Homo sapiens]	Protein	RPL27	95	1	1.056810777
ribosomal protein L37a [Homo sapiens]	Protein	RPL37A	96	1	1.049847651
ribosomal protein L37 [Homo sapiens]	Protein	RPL37	90	1	1.063383103
ribosomal protein S7 [Homo sapiens]	Protein	RPS7	116	0	1.039230176
ribosomal protein S8 [Homo sapiens]	Protein	RPS8	120	1	1.068599464
ribosomal protein S15a [Homo sapiens]	Protein	RPS15A	118	1	1.061586889
ribosomal protein S16 [Homo sapiens]	Protein	RPS16	135	0	1.058238344
ribosomal protein S14 [Homo sapiens]	Protein	RPS14	133	0	1.032495912
guanylate binding protein 4 [Homo sapiens]	Protein	GBP4	116	2	1.039625832
ribosomal protein S18 [Homo sapiens]	Protein	RPS18	118	0	1.058263622
ribosomal protein S29 isoform 2 [Homo sapiens]	Protein	RPS29	121	1	1.052368431
ribosomal protein S13 [Homo sapiens]	Protein	RPS13	118	1	1.064713873
ribosomal protein S11 [Homo sapiens]	Protein	RPS11	130	0	1.06596922
60S ribosomal protein L7a [Homo sapiens]	Protein		96	0	0
ribosomal protein S4, X-linked X isoform [Homo sapiens]	Protein	RPS4X	120	0	1.066261841
ribosomal protein L23a [Homo sapiens]	Protein	RPL23A	109	0	1.056571182
ribosomal protein S6 [Homo sapiens]	Protein	RPS6	120	0	1.058868919
ribosomal protein L23 [Homo sapiens]	Protein	RPL23	104	2	1.042095604
ribosomal protein S15 [Homo sapiens]	Protein	RPS15	112	1	1.061056084
ribosomal protein S24 isoform c [Homo sapiens]	Protein	RPS24	117	3	1.056393777
ribosomal protein S25 [Homo sapiens]	Protein	RPS25	115	1	1.061244858
similar to 40S ribosomal protein S26 [Homo sapiens]	Protein	LOC441377;LOC442515;LOC728937;LOC728595;LOC729188	123	0	0
ribosomal protein S26 [Homo sapiens]	Protein	RPS26	119	0	1.032955993
ribosomal protein S28 [Homo sapiens]	Protein	RPS28	119	1	1.038957932
ubiquitin-like protein fubi and ribosomal protein S30 precursor [Homo sapiens]	Protein	FAU	119	2	1.055136414
ribosomal protein L30 [Homo sapiens]	Protein	RPL30	96	1	1.061955433
ribosomal protein L39 [Homo sapiens]	Protein	RPL39	90	2	1.062940392
ribosomal protein L31 [Homo sapiens]	Protein	RPL31	104	0	1.01542924
ribosomal protein L10a [Homo sapiens]	Protein	RPL10A	92	0	1.058980249
ribosomal protein L32 [Homo sapiens]	Protein	RPL32	102	2	1.066601565
ribosomal protein L11 [Homo sapiens]	Protein	RPL11	93	1	1.0587169
ribosomal protein L8 [Homo sapiens]	Protein	RPL8	105	0	1.063725101
ribosomal protein L41 [Homo sapiens]	Protein	RPL41	90	1	1.063031086
ribosomal protein L38 [Homo sapiens]	Protein	RPL38	101	1	1.056028635
ribosomal protein S21 [Homo sapiens]	Protein	RPS21	116	1	1.051530495
solute carrier family 36 (proton/amino acid symporter), member 2 [Homo sapiens]	Protein	SLC36A2	104	2	3.359054872
ribosomal protein L36a [Homo sapiens]	Protein	RPL36A	93	0	1.036019113
ribosomal protein L19 [Homo sapiens]	Protein	RPL19	91	1	1.067545457
ribosomal protein L18a [Homo sapiens]	Protein	RPL18A	109	1	0.368044566
ribosomal protein L6 [Homo sapiens]	Protein	RPL6	98	0	1.057949831
ribosomal protein L18 [Homo sapiens]	Protein	RPL18	97	0	1.016300522
ribosomal protein L3-like [Homo sapiens]	Protein	RPL3L	89	1	2.125196301
ribosomal protein L26-like 1 [Homo sapiens]	Protein	RPL26L1	90	1	1.068584462
ribosomal protein L36 [Homo sapiens]	Protein	RPL36	107	1	1.059917865
RAD1 homolog isoform 1 [Homo sapiens]	Protein	RAD1	19	1	1.262720716
RAD17 homolog isoform 1 [Homo sapiens]	Protein	RAD17	19	1	0.981367985
RAD9 homolog B [Homo sapiens]	Protein	RAD9B	15	1	0.763296437
RAD9 homolog [Homo sapiens]	Protein	RAD9A	27	1	0.650790298
GINS complex subunit 4 (Sld5 homolog) [Homo sapiens]	Protein	GINS4	10	2	0.573864278
GINS complex subunit 2 (Psf2 homolog) [Homo sapiens]	Protein	GINS2	10	0	0.849044984
nucleoporin like 2 [Homo sapiens]	Protein	NUPL2	168	1	0.969717733
nucleoporin 155kDa isoform 2 [Homo sapiens]	Protein	NUP155	180	1	0.943604537
translocated promoter region (to activated MET oncogene) [Homo sapiens]	Protein	TPR	173	0	0.999202635
high mobility group AT-hook 1 isoform b [Homo sapiens]	Protein	HMGA1	204	1	0.962725571
nucleoporin 214kDa [Homo sapiens]	Protein	NUP214	170	2	0.847992139
nucleoporin 62kDa [Homo sapiens]	Protein	NUP62	187	2	0.938388755
nucleoporin 153kDa [Homo sapiens]	Protein	NUP153	178	3	1.038281742
RAN binding protein 2 [Homo sapiens]	Protein	RANBP2	181	2	1.002609368
karyopherin alpha 1 [Homo sapiens]	Protein	KPNA1	18	3	1.506523115
nucleoporin 98kD isoform 3 [Homo sapiens]	Protein	NUP98	179	0	1.037250316
nucleoporin 107kDa [Homo sapiens]	Protein	NUP107	171	1	0.967057855
RAE1 (RNA export 1, S.pombe) homolog [Homo sapiens]	Protein	RAE1	174	0	0.876762976
nucleoporin 160kDa [Homo sapiens]	Protein	NUP160	172	1	0.904081754
nucleoporin 54kDa [Homo sapiens]	Protein	NUP54	174	2	0.858926384
nucleoporin 93kDa [Homo sapiens]	Protein	NUP93	186	0	0.927138021
nucleoporin 43kDa [Homo sapiens]	Protein	NUP43	170	1	1.017116553
nucleoporin 37kDa [Homo sapiens]	Protein	NUP37	171	0	0.996601727
nucleoporin 133kDa [Homo sapiens]	Protein	NUP133	172	2	0.89370808
nucleoporin 205kDa [Homo sapiens]	Protein	NUP205	174	1	0.826306618
sec13-like protein isoform 2 [Homo sapiens]	Protein	SEH1L	168	2	0.979106432
nucleoporin 88kDa [Homo sapiens]	Protein	NUP88	170	1	1.089748386
nucleoporin like 1 isoform b [Homo sapiens]	Protein	NUPL1	174	2	0.893198119
apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F isoform b [Homo sapiens]	Protein	APOBEC3F	40	1	0.952000437
apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G [Homo sapiens]	Protein	APOBEC3G	40	1	0.577821285
nucleoporin 50kDa isoform b [Homo sapiens]	Protein	NUP50	173	2	0.873353918
POM121 membrane glycoprotein (rat) [Homo sapiens]	Protein	POM121	182	1	1.046488767
nuclear pore membrane protein 121 [Homo sapiens]	Protein	POM121	182	1	1.046488767
eukaryotic translation initiation factor 3, subunit 5 epsilon, 47kDa [Homo sapiens]	Protein	LOC339799	75	1	1.080809823
eukaryotic translation initiation factor 3, subunit 4 delta, 44kDa [Homo sapiens]	Protein	EIF3S4	66	2	1.074995451
eukaryotic translation initiation factor 3, subunit 2 beta, 36kDa [Homo sapiens]	Protein	EIF3S2	79	2	1.069196918
fusion (involved in t(12;16) in malignant liposarcoma) isoform b [Homo sapiens]	Protein	FUS	128	1	1.003989514
RNA binding motif protein 5 [Homo sapiens]	Protein	RBM5	110	1	1.028942575
mago-nashi homolog, proliferation-associated (Drosophila) [Homo sapiens]	Protein	MAGOH	122	1	0.963931391
ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6 isoform a precursor [Homo sapiens]	Protein	ATP5J	17	2	1.092019427
ATP synthase, H+ transporting, mitochondrial F0 complex, subunit d isoform b [Homo sapiens]	Protein	ATP5H	19	0	1.07864801
mitochondrial ATP synthase, O subunit precursor [Homo sapiens]	Protein	ATP5O	28	2	1.083668689
phosphatidylinositol N-acetylglucosaminyltransferase subunit A isoform 1 [Homo sapiens]	Protein	PIGA	9	1	0.869179159
phosphatidylinositol N-acetylglucosaminyltransferase subunit P isoform 1 [Homo sapiens]	Protein	PIGP	9	1	1.008816955
phosphatidylinositol glycan, class H [Homo sapiens]	Protein	PIGH	9	1	1.065320388
phosphatidylinositol glycan, class C [Homo sapiens]	Protein	PIGC	11	1	1.004726636
phosphatidylinositol glycan, class Q isoform 1 [Homo sapiens]	Protein	PIGQ	10	1	0.783182215
MAD, mothers against decapentaplegic homolog 3 [Homo sapiens]	Protein	SMAD3	130	0	1.312596396
Sma- and Mad-related protein 2 [Homo sapiens]	Protein	SMAD2	89	2	0.989981681
RNA polymerase I associated factor 53 [Homo sapiens]	Protein	POLR1E	50	1	0.930793564
RNA polymerase I subunit isoform 2 [Homo sapiens]	Protein	POLR1C	35	1	1.004260883
polymerase (RNA) I polypeptide E, 53kDa [Homo sapiens]	Protein	POLR1E	45	1	0.930793564
RNA polymerase I polypeptide B [Homo sapiens]	Protein	POLR1B	35	3	0.890743202
ubiquinol-cytochrome c reductase, complex III subunit VII [Homo sapiens]	Protein	UQCRQ	14	1	1.078421414
ubiquinol-cytochrome c reductase, complex III subunit VII, 9.5kDa [Homo sapiens]	Protein	UQCRQ	12	1	1.078421414
ubiquinol-cytochrome c reductase hinge protein [Homo sapiens]	Protein	UQCRH	16	2	1.071437842
ubiquinol-cytochrome c reductase binding protein [Homo sapiens]	Protein	UQCRB	15	1	1.097084686
ubiquinol-cytochrome c reductase core protein II [Homo sapiens]	Protein	UQCRC2	18	4	1.069503756
ubiquinol-cytochrome c reductase core protein I [Homo sapiens]	Protein	UQCRC1	23	2	1.045596487
ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1 [Homo sapiens]	Protein	UQCRFS1	14	2	1.069581914
class I alcohol dehydrogenase, gamma subunit [Homo sapiens]	Protein	ADH1C	16	1	1.817628047
lactate dehydrogenase B [Homo sapiens]	Protein	LDHB	9	0	1.069315871
coagulation factor VIII isoform a precursor [Homo sapiens]	Protein	F8	7	1	1.428773732
coagulation factor IX [Homo sapiens]	Protein	F9	5	1	0.785658343
von Willebrand factor preproprotein [Homo sapiens]	Protein	VWF	18	3	1.49713715
coagulation factor XIII B subunit precursor [Homo sapiens]	Protein	F13B	4	0	1.279373875
epidermal growth factor (beta-urogastrone) [Homo sapiens]	Protein	EGF	13	4	2.103897908
coagulation factor II precursor [Homo sapiens]	Protein	F2	32	1	0.776690935
thrombomodulin precursor [Homo sapiens]	Protein	THBD	8	0	1.320951429
complement component 1, r subcomponent [Homo sapiens]	Protein	C1R	53	4	1.537483905
immunoglobulin heavy variable group [Homo sapiens]	Protein	IGHV@	41	0	0
immunoglobulin kappa variable 4-1 [Homo sapiens]	Protein	IGKV4-1	13	0	0.346061678
complement component 1, s subcomponent [Homo sapiens]	Protein	C1S	49	4	1.828612486
immunoglobulin heavy variable 1-69 [Homo sapiens]	Protein	IGHV1-69	42	0	0.224598193
immunoglobulin heavy constant gamma 4 (G4m marker) [Homo sapiens]	Protein	IGHG4	63	0	0
immunoglobulin kappa variable 2-24 [Homo sapiens]	Protein	IGKV2-24	13	0	0
immunoglobulin heavy variable 7-81 [Homo sapiens]	Protein	IGHV7-81	42	0	0.224549715
coagulation factor X preproprotein [Homo sapiens]	Protein	F10	20	1	1.433713288
plasminogen [Homo sapiens]	Protein	PLG	39	2	1.292767907
plasminogen activator, tissue type isoform 1 preproprotein [Homo sapiens]	Protein	PLAT	24	3	1.378227368
fibroblast growth factor 1 (acidic) isoform 1 precursor [Homo sapiens]	Protein	FGF1	28	2	1.349943802
complement component 1 inhibitor precursor [Homo sapiens]	Protein	SERPING1	13	2	1.39937394
urokinase plasminogen activator preproprotein [Homo sapiens]	Protein	PLAU	17	4	1.272068572
complement component 3 precursor [Homo sapiens]	Protein	C3	35	2	1.342386786
ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G [Homo sapiens]	Protein	ATP5L	22	0	1.066472053
mitochondrially encoded ATP synthase 8 [Homo sapiens]	Protein	MT-ATP8	17	0	0
ATP synthase, H+ transporting, mitochondrial F1 complex, beta subunit precursor [Homo sapiens]	Protein	ATP5B	26	2	1.070837999
ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1 precursor [Homo sapiens]	Protein	ATP5F1	22	2	1.068629567
ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit precursor [Homo sapiens]	Protein	ATP5A1	26	2	1.077549219
ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit precursor [Homo sapiens]	Protein	ATP5D	23	2	1.127104844
ATP synthase, H+ transporting, mitochondrial F1 complex, gamma subunit isoform L (liver) precursor [Homo sapiens]	Protein	ATP5C1	39	2	1.042944483
ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2 isoform 2b [Homo sapiens]	Protein	ATP5J2	39	0	1.077736978
ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit [Homo sapiens]	Protein	ATP5E	17	0	1.052059926
ATP synthase, H+ transporting, mitochondrial F0 complex, subunit E [Homo sapiens]	Protein	ATP5I	17	0	1.085867221
serine (or cysteine) proteinase inhibitor, clade C (antithrombin), member 1 [Homo sapiens]	Protein	SERPINC1	7	2	0.739606313
plasma kallikrein B1 precursor [Homo sapiens]	Protein	KLKB1	11	2	1.188217557
complement component 4B preproprotein [Homo sapiens]	Protein	C4B	7	2	0.225827184
complement component 4A preproprotein [Homo sapiens]	Protein	C4A	8	2	0
complement component 5 [Homo sapiens]	Protein	C5	12	1	0.706893818
complement component 9 [Homo sapiens]	Protein	C9	10	1	1.008139346
complement component 8, alpha polypeptide precursor [Homo sapiens]	Protein	C8A	10	1	1.215977463
complement component 8, beta polypeptide preproprotein [Homo sapiens]	Protein	C8B	8	1	0.803840279
complement component 8, gamma polypeptide [Homo sapiens]	Protein	C8G	8	1	0.983661798
complement component 7 precursor [Homo sapiens]	Protein	C7	9	0	1.126532974
Complement component 6 precursor [Homo sapiens]	Protein	C6	8	2	0.895179287
kininogen 1 [Homo sapiens]	Protein	KNG1	25	1	0.77702233
complement component 1, q subcomponent binding protein precursor [Homo sapiens]	Protein	C1QBP	30	2	1.079214421
zinc finger, FYVE domain containing 9 isoform 3 [Homo sapiens]	Protein	ZFYVE9	28	1	1.367834771
proinsulin precursor [Homo sapiens]	Protein	INS	17	1	1.484583025
SHC (Src homology 2 domain containing) transforming protein 1 isoform p52Shc [Homo sapiens]	Protein	SHC1	98	2	1.00098036
insulin receptor substrate 1 [Homo sapiens]	Protein	IRS1	64	3	1.804322038
insulin receptor substrate 2 [Homo sapiens]	Protein	IRS2	30	1	1.151211145
insulin-like growth factor 1 (somatomedin C) [Homo sapiens]	Protein	IGF1	18	4	1.564768042
tumor necrosis factor receptor 1 precursor [Homo sapiens]	Protein	TNFRSF1A	148	2	1.086882904
similar to C-C chemokine receptor type 5 (C-C CKR-5) (CC-CKR-5) (CCR-5) (CCR5) (HIV-1 fusion coreceptor) (CHEMR13) (CD195 antigen) [Homo sapiens]	Protein	LOC653725;LOC727797	140	2	0
chemokine (C-C motif) receptor 5 [Homo sapiens]	Protein	CCR5	159	2	0.865177522
chemokine (C-X-C motif) receptor 4 isoform a [Homo sapiens]	Protein	CXCR4	160	1	0.738315246
peptidylprolyl isomerase A-like [Homo sapiens]	Protein	LOC388817	156	0	0
alpha 2 type I collagen [Homo sapiens]	Protein	COL1A2	32	4	1.554196968
proto-oncogene tyrosine-protein kinase SRC [Homo sapiens]	Protein	SRC	130	0	0.951841865
glycoprotein Ib, beta polypeptide precursor [Homo sapiens]	Protein	GP1BB	10	2	1.275867206
reticulon 4 receptor precursor [Homo sapiens]	Protein	RTN4R	29	1	0.356445948
glycoprotein IX (platelet) [Homo sapiens]	Protein	GP9	9	1	0.954723295
CD36 antigen [Homo sapiens]	Protein	CD36	16	1	1.663413305
Fc fragment of IgE, high affinity I, receptor for, gamma polypeptide precursor [Homo sapiens]	Protein	FCER1G	13	2	0.757686745
glycoprotein V (platelet) [Homo sapiens]	Protein	GP5	9	1	0.903998407
spleen tyrosine kinase [Homo sapiens]	Protein	SYK	65	0	0.417134999
apolipoprotein A-II preproprotein [Homo sapiens]	Protein	APOA2	16	1	0.630905166
apolipoprotein C-II precursor [Homo sapiens]	Protein	APOC2	9	1	0.648882515
apolipoprotein C-III precursor [Homo sapiens]	Protein	APOC3	8	1	0.967963197
apolipoprotein B precursor [Homo sapiens]	Protein	APOB	25	1	0.717295396
low density lipoprotein receptor precursor [Homo sapiens]	Protein	LDLR	11	2	0.816607842
fibrinogen, beta chain preproprotein [Homo sapiens]	Protein	FGB	13	0	0.708492293
fibrinogen, gamma chain isoform gamma-A precursor [Homo sapiens]	Protein	FGG	17	1	0.640842376
integrin beta chain, beta 3 precursor [Homo sapiens]	Protein	ITGB3	24	2	0.947865396
complement component 1, q subcomponent, B chain precursor [Homo sapiens]	Protein	C1QB	49	3	1.083658809
complement component 1, q subcomponent, C chain [Homo sapiens]	Protein	C1QC	45	2	0.630853689
complement component 1, q subcomponent, gamma polypeptide [Homo sapiens]	Protein	C1QC	45	2	0.630853689
platelet coagulation factor XI isoform a precursor [Homo sapiens]	Protein	F11	14	2	0.821819799
protein C (inactivator of coagulation factors Va and VIIIa) [Homo sapiens]	Protein	PROC	14	1	0.625111542
platelet-derived growth factor beta isoform 1, preproprotein [Homo sapiens]	Protein	PDGFB	17	3	1.16048393
pancreatic lipase precursor [Homo sapiens]	Protein	PNLIP	9	1	1.097199102
propionyl Coenzyme A carboxylase, beta polypeptide [Homo sapiens]	Protein	PCCB	4	2	1.057798356
eukaryotic translation initiation factor 3, subunit 1 alpha, 35kDa [Homo sapiens]	Protein	EIF3S1	64	0	1.125722993
eukaryotic translation initiation factor 2 beta [Homo sapiens]	Protein	EIF2S2	82	1	1.019114925
eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa [Homo sapiens]	Protein	EIF2S3	74	2	1.023590002
eukaryotic translation initiation factor 2B, subunit 2 beta, 39kDa [Homo sapiens]	Protein	EIF2B2	15	1	1.118688413
eukaryotic translation initiation factor 2B, subunit 5 epsilon, 82kDa [Homo sapiens]	Protein	EIF2B5	11	1	1.033740597
eukaryotic translation initiation factor 2B, subunit 1 alpha, 26kDa [Homo sapiens]	Protein	EIF2B1	21	1	1.017088474
eukaryotic translation initiation factor 2B, subunit 3 gamma, 58kDa [Homo sapiens]	Protein	EIF2B3	12	1	1.236913057
eukaryotic translation initiation factor 2B, subunit 4 delta isoform 2 [Homo sapiens]	Protein	EIF2B4	13	1	1.000703807
peptide chain release factor 3 [Homo sapiens]	Protein	GSPT2	88	1	1.039724065
activating transcription factor 2 [Homo sapiens]	Protein	ATF2	27	0	1.005597784
polymerase (RNA) III (DNA directed) polypeptide A, 155kDa [Homo sapiens]	Protein	POLR3A	36	1	0.791130183
POU domain, class 2, transcription factor 1 [Homo sapiens]	Protein	POU2F1	56	2	0.889247759
mitochondrially encoded ATP synthase 6 [Homo sapiens]	Protein	MT-ATP6	17	0	0.736429676
insulin receptor [Homo sapiens]	Protein	INSR	48	1	1.17454114
E2F transcription factor 4 [Homo sapiens]	Protein	E2F4	23	1	0.752668718
cyclin E2 isoform 1 [Homo sapiens]	Protein	CCNE2	10	1	0.800507889
cyclin E1 isoform 1 [Homo sapiens]	Protein	CCNE1	26	1	0.765613464
E2F transcription factor 2 [Homo sapiens]	Protein	E2F2	14	2	0.68620127
E2F transcription factor 5 [Homo sapiens]	Protein	E2F5	9	2	0.814610224
eukaryotic translation initiation factor 4E binding protein 1 [Homo sapiens]	Protein	EIF4EBP1	12	1	1.029813647
X-ray repair cross complementing protein 1 [Homo sapiens]	Protein	XRCC1	14	1	1.017797953
syndecan 1 precursor [Homo sapiens]	Protein	SDC1	12	0	0.735723379
alcohol dehydrogenase 1B (class I), beta polypeptide [Homo sapiens]	Protein	ADH1B	16	1	1.437852403
xeroderma pigmentosum, complementation group A [Homo sapiens]	Protein	XPA	25	1	1.151836116
XPG-complementing protein [Homo sapiens]	Protein	ERCC5	26	1	0.867834201
UV excision repair protein RAD23 homolog B [Homo sapiens]	Protein	RAD23B	26	2	1.152484245
xeroderma pigmentosum, complementation group C [Homo sapiens]	Protein	XPC	26	1	0.862288975
excision repair cross-complementing rodent repair deficiency, complementation group 6 [Homo sapiens]	Protein	ERCC6	20	0	0.168647445
excision repair cross-complementing rodent repair deficiency, complementation group 4 [Homo sapiens]	Protein	ERCC4	26	2	0.976405747
XPA binding protein 2 [Homo sapiens]	Protein	XAB2	19	1	0.850996371
gap junction protein, beta 2, 26kDa (connexin 26) [Homo sapiens]	Protein	GJB2	5	2	0.284884749
liver phosphofructokinase isoform a [Homo sapiens]	Protein	PFKL	31	1	0.81003935
pyruvate dehydrogenase complex, component X [Homo sapiens]	Protein	PDHX	13	2	1.218277601
pyruvate dehydrogenase (lipoamide) beta [Homo sapiens]	Protein	PDHB	21	3	1.133051597
mitochondrially encoded cytochrome b [Homo sapiens]	Protein	MT-CYB	13	0	0.376736786
eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa [Homo sapiens]	Protein	EIF2S1	73	0	1.123518823
coagulation factor VII precursor, isoform a [Homo sapiens]	Protein	F7	11	1	1.135626682
tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor) isoform b [Homo sapiens]	Protein	TFPI	7	0	1.34944014
coagulation factor III precursor [Homo sapiens]	Protein	F3	9	1	1.407753212
pyruvate dehydrogenase (lipoamide) alpha 1 [Homo sapiens]	Protein	PDHA1	17	2	1.104684867
branched chain keto acid dehydrogenase E1, beta polypeptide precursor [Homo sapiens]	Protein	BCKDHB	13	1	0.938195869
dihydrolipoamide branched chain transacylase [Homo sapiens]	Protein	DBT	8	4	1.083891109
branched chain keto acid dehydrogenase E1, alpha polypeptide [Homo sapiens]	Protein	BCKDHA	10	1	1.010779951
oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide) isoform 2 precursor [Homo sapiens]	Protein	OGDH	12	2	1.229967478
proliferating cell nuclear antigen [Homo sapiens]	Protein	PCNA	116	0	0.88853278
replication factor C 4 [Homo sapiens]	Protein	RFC4	29	1	0.837385556
replication factor C 2 (40kD) isoform 2 [Homo sapiens]	Protein	RFC2	24	1	0.789472043
replication factor C large subunit [Homo sapiens]	Protein	RFC1	24	1	0.805150447
replication factor C 3 isoform 1 [Homo sapiens]	Protein	RFC3	21	2	0.803759257
DNA primase small subunit, 49kDa [Homo sapiens]	Protein	PRIM1	23	1	0.832186651
DNA primase large subunit, 58kDa [Homo sapiens]	Protein	PRIM2A	20	1	0.778539206
DNA polymerase epsilon catalytic subunit [Homo sapiens]	Protein	POLE	17	1	0.907310015
BCL2-like 11 isoform 6 [Homo sapiens]	Protein	BCL2L11	12	1	1.064308688
BH3 interacting domain death agonist isoform 2 [Homo sapiens]	Protein	BID	20	1	0.710379214
BCL2 binding component 3 [Homo sapiens]	Protein	BBC3	12	1	0.967162676
cAMP-dependent protein kinase catalytic subunit alpha isoform 1 [Homo sapiens]	Protein	PRKACA	23	1	1.493054698
protein kinase, cAMP-dependent, catalytic, gamma [Homo sapiens]	Protein	PRKACG	7	0	1.62364779
cAMP-dependent protein kinase catalytic subunit beta isoform 2 [Homo sapiens]	Protein	PRKACB	11	1	0.78250757
klotho isoform a [Homo sapiens]	Protein	KL	8	2	0.962807597
cyclin-dependent kinase inhibitor 2A isoform 1 [Homo sapiens]	Protein	CDKN2A	55	1	0.888103119
cyclin-dependent kinase inhibitor 2B isoform 1 [Homo sapiens]	Protein	CDKN2B	11	0	1.22376455
cyclin-dependent kinase inhibitor 2C [Homo sapiens]	Protein	CDKN2C	20	1	1.128205045
cyclin-dependent kinase inhibitor 2D [Homo sapiens]	Protein	CDKN2D	9	0	0.856121734
PB1F2_IAPUE	Protein		1	0	0
coagulation factor V precursor [Homo sapiens]	Protein	F5	12	1	0.585498099
ras-related nuclear protein [Homo sapiens]	Protein	RAN	104	2	1.048306652
phosphoinositide-3-kinase, catalytic, gamma polypeptide [Homo sapiens]	Protein	PIK3CG	64	1	0.590344819
